Name,Technology,Location,Age,Owner,Capacity,Efficiency
CoalPSC Energy Producer C 38,CoalPSC,gbNode,38,Energy Producer C,838.0206,
CoalPSC Energy Producer D 39,CoalPSC,gbNode,39,Energy Producer D,654.03995,
CoalPSC Energy Producer A 40,CoalPSC,gbNode,40,Energy Producer A,1270.72001,
CoalPSC Energy Producer B 41,CoalPSC,gbNode,41,Energy Producer B,1839.37587,
CoalPSC Energy Producer C 42,CoalPSC,gbNode,42,Energy Producer C,1647.36316,
CoalPSC Energy Producer D 43,CoalPSC,gbNode,43,Energy Producer D,3136.82478,
CoalPSC Energy Producer B 45,CoalPSC,gbNode,45,Energy Producer B,1247.54312,
CoalPSC Energy Producer C 46,CoalPSC,gbNode,46,Energy Producer C,1583.9747,
CoalPSC Energy Producer D 47,CoalPSC,gbNode,47,Energy Producer D,751.42998,
CoalPSC Energy Producer A 48,CoalPSC,gbNode,48,Energy Producer A,735.58505,
CoalPSC Energy Producer B 49,CoalPSC,gbNode,49,Energy Producer B,351.39902,
CoalPSC Energy Producer C 50,CoalPSC,gbNode,50,Energy Producer C,623.80109,
HydroPower Energy Producer A 30,HydroPower,gbNode,30,Energy Producer A,805.5,
HydroPower Energy Producer B 40,HydroPower,gbNode,40,Energy Producer B,805.5,
Nuclear Energy Producer C 10,Nuclear,gbNode,10,Energy Producer C,88.85953,
Nuclear Energy Producer D 11,Nuclear,gbNode,11,Energy Producer D,88.93419,
Nuclear Energy Producer C 14,Nuclear,gbNode,14,Energy Producer C,50.2022,
Nuclear Energy Producer D 15,Nuclear,gbNode,15,Energy Producer D,280.44447,
Nuclear Energy Producer A 16,Nuclear,gbNode,16,Energy Producer A,252.19027,
Nuclear Energy Producer B 17,Nuclear,gbNode,17,Energy Producer B,61.04196,
Nuclear Energy Producer C 18,Nuclear,gbNode,18,Energy Producer C,110.6882,
Nuclear Energy Producer A 20,Nuclear,gbNode,20,Energy Producer A,195.82004,
Nuclear Energy Producer B 21,Nuclear,gbNode,21,Energy Producer B,114.44942,
Nuclear Energy Producer C 22,Nuclear,gbNode,22,Energy Producer C,227.83917,
Nuclear Energy Producer D 23,Nuclear,gbNode,23,Energy Producer D,234.99229,
Nuclear Energy Producer A 24,Nuclear,gbNode,24,Energy Producer A,164.24497,
Nuclear Energy Producer B 25,Nuclear,gbNode,25,Energy Producer B,734.43253,
Nuclear Energy Producer C 26,Nuclear,gbNode,26,Energy Producer C,653.05819,
Nuclear Energy Producer D 27,Nuclear,gbNode,27,Energy Producer D,805.39994,
Nuclear Energy Producer A 28,Nuclear,gbNode,28,Energy Producer A,1368.50533,
Nuclear Energy Producer B 29,Nuclear,gbNode,29,Energy Producer B,1018.00759,
Nuclear Energy Producer C 30,Nuclear,gbNode,30,Energy Producer C,695.83863,
Nuclear Energy Producer D 31,Nuclear,gbNode,31,Energy Producer D,511.78364,
Nuclear Energy Producer A 32,Nuclear,gbNode,32,Energy Producer A,1014.69407,
Nuclear Energy Producer B 33,Nuclear,gbNode,33,Energy Producer B,738.55944,
Nuclear Energy Producer C 34,Nuclear,gbNode,34,Energy Producer C,462.42844,
Nuclear Energy Producer D 35,Nuclear,gbNode,35,Energy Producer D,168.58834,
Nuclear Energy Producer A 36,Nuclear,gbNode,36,Energy Producer A,529.85109,
Nuclear Energy Producer B 37,Nuclear,gbNode,37,Energy Producer B,313.91886,
Nuclear Energy Producer C 38,Nuclear,gbNode,38,Energy Producer C,338.78116,
Nuclear Energy Producer D 39,Nuclear,gbNode,39,Energy Producer D,62.64645,
Nuclear Energy Producer A 40,Nuclear,gbNode,40,Energy Producer A,69.79956,
OCGT Energy Producer A  1,OCGT,gbNode,1,Energy Producer A,579.16667,
OCGT Energy Producer B  2,OCGT,gbNode,2,Energy Producer B,579.16667,
OCGT Energy Producer C  3,OCGT,gbNode,3,Energy Producer C,345.33333,
OCGT Energy Producer D  4,OCGT,gbNode,4,Energy Producer D,345.33333,
OCGT Energy Producer A  8,OCGT,gbNode,8,Energy Producer A,699.64925,
OCGT Energy Producer B  9,OCGT,gbNode,9,Energy Producer B,1254.25495,
OCGT Energy Producer C 10,OCGT,gbNode,10,Energy Producer C,88.52151,
OCGT Energy Producer D 11,OCGT,gbNode,11,Energy Producer D,309.14128,
