hour,nl_node_0,nl_node_1,nl_node_2,nl_node_3,nl_node_4,nl_node_5,nl_node_6,nl_node_7,nl_node_8,nl_node_9,nl_node_10,nl_node_11,nl_node_12,nl_node_13,nl_node_14,nl_node_15,nl_node_16,nl_node_17,nl_node_18
162,0.0381352238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
163,0.0193014589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
164,0.0004679299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
165,0.0003199763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
166,0.0001720226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
167,0.000024069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
168,2.01754943131249E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
169,0.000016164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
170,1.21760877959912E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
171,8.1173918639941E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
172,4.05869593199705E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
173,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
174,0.0039274962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
175,0.0078547565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
176,0.0117822527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
177,0.0656102356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
178,0.1194379825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
179,0.1732657293,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
180,0.1861244803,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
181,0.1989832314,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
182,0.2118417464,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
183,0.1629677323,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
184,0.1140937182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
185,0.0652194681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
186,0.0436364086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
187,0.0220533491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
188,0.0004702896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
189,0.0003176166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
190,0.0001649435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
191,1.20816995185029E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
192,1.00759486218764E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
193,8.09379479462203E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
